# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF17aaaaqee  70.824327  54.041005 152.925471   5.271729
ZTF17aaabekg  76.116910  44.777086 162.304197   2.114190
ZTF17aaabneq  86.102386  33.671149 175.824713   2.250046
ZTF17aaabswj  81.265520  39.566395 168.763873   2.175078
ZTF17aaacdos  73.320326  38.274549 166.114621  -3.555480
ZTF17aaaedem 358.744281  54.458130 114.711080  -7.509934
ZTF17aaaedpn 329.318490  52.200221  97.941061  -2.011928
ZTF17aaaeefu  14.931218  64.911658 123.810776   2.054050
ZTF17aaaejau 320.369098  29.261457  77.313044 -14.470264
ZTF17aaaemzh   3.909488  26.615701 113.086279 -35.570695
ZTF17aaagrix   0.230071  54.024594 115.477423  -8.114368
ZTF17aaajlbs 163.626921  30.102616 199.342466  64.236404
ZTF17aaajlfw 166.415704  25.107800 211.803230  66.214114
ZTF17aaaoxxi 102.258200   8.995683 204.643114   3.558802
ZTF17aaapome 151.314052  19.185509 215.659620  51.164323
ZTF17aaaqgbm 323.566060  49.190638  93.214970  -1.960626
ZTF17aaarhor  76.880448  44.573457 162.794257   2.424803
ZTF17aaarine 326.700996  48.463184  94.288350  -3.868161
ZTF17aaarlrs  62.300973  48.368470 153.276983  -2.500585
ZTF17aaarlyh  32.662728  53.630842 134.621022  -7.433514
ZTF17aaaruaj  22.152104  53.474822 128.515825  -8.993451
ZTF17aaaslud  62.145773  51.246701 151.257734  -0.446321
ZTF17aaatdec  93.384016   6.952121 202.388231  -5.177705
ZTF17aaatlsc  33.553997  52.432454 135.511615  -8.405762
ZTF17aaatnzw  81.018031  37.068396 170.721436   0.610426
ZTF17aaavfwx  76.554655  -4.135466 204.198023 -25.229911
ZTF17aaawglf 326.015734  44.650475  91.446121  -6.465679
ZTF17aaawpsz  33.314510  53.639674 134.988899  -7.305765
ZTF17aaawsmt 325.889833  51.334297  95.749107  -1.340922
ZTF17aabdvhz  84.382027  50.255970 160.911821   9.803453
ZTF17aabgmof  92.256210  14.102347 195.560441  -2.735555
ZTF17aabooqk 308.450292  46.184091  84.201004   3.604615
ZTF17aabopqx 303.056881  42.764140  79.186472   4.819585
ZTF17aabpkjj 343.763982  54.638697 106.535476  -4.485356
ZTF17aabrpgv 109.241957  -9.581530 224.361774   1.240920
ZTF17aabumcd   8.573719  43.760931 119.659488 -19.001866
ZTF17aabumzi 353.520652  64.710180 114.787358   3.068699
ZTF17aabunmx 353.648186  54.557069 111.856034  -6.653756
ZTF17aabutiy 329.566340  51.838995  97.840472  -2.390933
ZTF17aabuvei 354.192058  57.956712 113.136325  -3.487889
ZTF17aabvfoy 329.566431  51.838985  97.840510  -2.390975
ZTF17aabyrom  97.475944  25.653299 187.650837   7.015423
ZTF17aabyrpg 122.192501  31.518305 190.226823  29.310746
ZTF17aabziqr 103.055556  30.956173 184.906649  13.719089
ZTF17aacbiid 117.781314  30.107855 190.512475  25.276582
ZTF17aacklbl  94.180097  15.403116 195.309808  -0.479371
ZTF17aacldol 154.946875  33.964818 191.616188  56.835635
ZTF17aaclmhw 163.390669  28.842687 202.210127  63.986763
ZTF17aacmlfg  95.863430  17.792245 193.963595   2.069786
ZTF17aacmlmj  97.863172  22.207434 190.904563   5.772756
ZTF17aacpcfj  94.967532  24.349614 187.766276   4.397393
ZTF17aacpcfv  93.018646  25.475705 185.934509   3.371629
ZTF17aacplzj 119.200215  30.968060 190.009633  26.701045
ZTF17aacpwpr  82.120134  32.397545 175.101122  -1.248793
ZTF17aactzul  72.843156  16.172084 183.617387 -17.493298
ZTF17aacucfy  75.350613  20.638263 181.324106 -12.942493
ZTF17aaczwtq  88.387972  24.709160 184.535211  -0.655285
ZTF17aadaxwu  86.951581  28.586401 180.547677   0.227991
ZTF17aadbpoq  94.538373  27.640142 184.664116   5.591635
ZTF17aadnmap  93.933024  28.585658 183.573526   5.561416
ZTF17aadsnyp 325.889821  51.334324  95.749119  -1.340896
ZTF18aaaanuc  95.346897  19.216725 192.474535   2.304289
ZTF18aaacmsd 145.857878  52.024653 164.345860  47.131089
ZTF18aaadclg 179.436877  48.938338 144.810728  65.846362
ZTF18aaadcme 173.962823  53.379488 145.848628  60.255973
ZTF18aaadhmx 160.985891  58.125426 149.761566  51.843723
ZTF18aaadlpa 133.558391  39.093522 183.239050  39.805002
ZTF18aaadvfh  73.865479  38.983061 165.831050  -2.778828
ZTF18aaadvfu  67.154565  31.966024 167.599545 -11.492507
ZTF18aaaedoi  84.512224  42.116321 167.962334   5.623535
ZTF18aaaelvk 103.159334  13.222506 201.251693   6.248040
ZTF18aaahnyx 109.513873  64.795752 151.317368  27.160872
ZTF18aabeymw  50.063687  44.183091 149.144436 -10.984152
ZTF18aabfagc  30.631260  56.394136 132.697266  -5.123835
ZTF18aabfaii  34.269391  57.877925 134.140863  -3.117978
ZTF18aabfbek  41.282943  46.550007 142.480715 -11.961180
